Question,Examples,Code,Categories,Link for ref (if any),Assert Statement 1
"Given a 3×3 board with 8 tiles (every tile has one number from 1 to 8) and one empty space. The objective is to place the numbers on tiles to match the final configuration using the empty space. We can slide four adjacent (left, right, above, and below) tiles into the empty space. 

For example, 
initial: [[1,2,3],[5,6,None],[7,8,4]]
final: [[1,2,3],[5,8,6],[None,7,4]]
",,"import copy
from heapq import heappush, heappop
 
# bottom, left, top, right
row = [ 1, 0, -1, 0 ]
col = [ 0, -1, 0, 1 ]
 
# A class for Priority Queue
class priorityQueue:
		 
		# Constructor to initialize a
		# Priority Queue
		def __init__(self):
				self.heap = []
 
		# Inserts a new key 'k'
		def push(self, k):
				heappush(self.heap, k)
 
		# Method to remove minimum element 
		# from Priority Queue
		def pop(self):
				return heappop(self.heap)
 
		# Method to know if the Queue is empty
		def empty(self):
				if not self.heap:
						return True
				else:
						return False
 
# Node structure
class node:
		 
		def __init__(self, parent, mat, empty_tile_pos,
								 cost, level):
											
				# Stores the parent node of the 
				# current node helps in tracing 
				# path when the answer is found
				self.parent = parent
 
				# Stores the matrix
				self.mat = mat
 
				# Stores the position at which the
				# empty space tile exists in the matrix
				self.empty_tile_pos = empty_tile_pos
 
				# Stores the number of misplaced tiles
				self.cost = cost
 
				# Stores the number of moves so far
				self.level = level
 
		# This method is defined so that the 
		# priority queue is formed based on 
		# the cost variable of the objects
		def __lt__(self, nxt):
				return self.cost < nxt.cost
 
# Function to calculate the number of 
# misplaced tiles ie. number of non-blank
# tiles not in their goal position
def calculateCost(mat, final, n) -> int:
		 
		count = 0
		for i in range(n):
				for j in range(n):
						if ((mat[i][j]) and
								(mat[i][j] != final[i][j])):
								count += 1
								 
		return count
 
def newNode(mat, empty_tile_pos, new_empty_tile_pos,
						level, parent, final, n) -> node:
								 
		# Copy data from parent matrix to current matrix
		new_mat = copy.deepcopy(mat)
 
		# Move tile by 1 position
		x1 = empty_tile_pos[0]
		y1 = empty_tile_pos[1]
		x2 = new_empty_tile_pos[0]
		y2 = new_empty_tile_pos[1]
		new_mat[x1][y1], new_mat[x2][y2] = new_mat[x2][y2], new_mat[x1][y1]
 
		# Set number of misplaced tiles
		cost = calculateCost(new_mat, final, n)
 
		new_node = node(parent, new_mat, new_empty_tile_pos,
										cost, level)
		return new_node
 
# Function to check if (x, y) is a valid
# matrix coordinate
def isSafe(x, y, n):
		 
		return x >= 0 and x < n and y >= 0 and y < n
 
# Print path from root node to destination node
def printPath(root):
		ret = []
		while root != None:
			ret.append(root.mat)
			root = root.parent
		ret.reverse()
		return ret
 
# Function to solve N*N - 1 puzzle algorithm
# using Branch and Bound. empty_tile_pos is
# the blank tile position in the initial state.
def solve(initial, final):
		
		n = len(initial)
		empty_tile_pos = None
		for i in range(n):
			for j in range(n):
				if initial[i][j] == 0:
					empty_tile_pos = [i,j]
		# Create a priority queue to store live
		# nodes of search tree
		pq = priorityQueue()
 
		# Create the root node
		cost = calculateCost(initial, final, n)
		root = node(None, initial, 
								empty_tile_pos, cost, 0)
 
		# Add root to list of live nodes
		pq.push(root)
 
		# Finds a live node with least cost,
		# add its children to list of live 
		# nodes and finally deletes it from 
		# the list.
		while not pq.empty():
 
				# Find a live node with least estimated
				# cost and delete it from the list of 
				# live nodes
				minimum = pq.pop()
 
				# If minimum is the answer node
				if minimum.cost == 0:
						return printPath(minimum)
 
				# Generate all possible children
				for i in range(4):
						new_tile_pos = [
								minimum.empty_tile_pos[0] + row[i],
								minimum.empty_tile_pos[1] + col[i], ]
								 
						if isSafe(new_tile_pos[0], new_tile_pos[1], n):
								 
								# Create a child node
								child = newNode(minimum.mat,
																minimum.empty_tile_pos,
																new_tile_pos,
																minimum.level + 1,
																minimum, final, n)
 
								# Add child to list of live nodes
								pq.push(child)","['branch and bound', 'matrix/grid']",https://www.geeksforgeeks.org/8-puzzle-problem-using-branch-and-bound/,"assert solve([ [ 1, 2, 3 ], [ 5, 6, 0 ], [ 7, 8, 4 ] ], [ [ 1, 2, 3 ], [ 5, 8, 6 ], [ 0, 7, 4 ] ]) == [[[1, 2, 3], [5, 6, 0], [7, 8, 4]],[[1, 2, 3], [5, 0, 6], [7, 8, 4]],[[1, 2, 3], [5, 8, 6], [7, 0, 4]],[[1, 2, 3], [5, 8, 6], [0, 7, 4]]]"
"Given an input N for a NxN chessboard place N queens such that no two queens attack each other. Return the NxN board with the Queens marked as Q. If the problem is not solvable return Solution does not exist
",,"
N = 8

def printSolution(board):
    for i in range(N):
        for j in range(N):
            print(board[i][j], end = "" "")
        print()

def isSafe(row, col, slashCode, backslashCode, 
           rowLookup, slashCodeLookup, 
                       backslashCodeLookup):
    if (slashCodeLookup[slashCode[row][col]] or
        backslashCodeLookup[backslashCode[row][col]] or
        rowLookup[row]):
        return False
    return True

def solveNQueensUtil(board, col, slashCode, backslashCode, 
                     rowLookup, slashCodeLookup,
                     backslashCodeLookup):
    if(col >= N):
        return True
    for i in range(N):
        if(isSafe(i, col, slashCode, backslashCode, 
                  rowLookup, slashCodeLookup,
                  backslashCodeLookup)):
            board[i][col] = 1
            rowLookup[i] = True
            slashCodeLookup[slashCode[i][col]] = True
            backslashCodeLookup[backslashCode[i][col]] = True
            if(solveNQueensUtil(board, col + 1, 
                                slashCode, backslashCode, 
                                rowLookup, slashCodeLookup, 
                                backslashCodeLookup)):
                return True
            board[i][col] = 0
            rowLookup[i] = False
            slashCodeLookup[slashCode[i][col]] = False
            backslashCodeLookup[backslashCode[i][col]] = False
             
    return False
def solveNQueens():
    board = [[0 for i in range(N)] 
                for j in range(N)]
     
    # helper matrices 
    slashCode = [[0 for i in range(N)] 
                    for j in range(N)]
    backslashCode = [[0 for i in range(N)] 
                        for j in range(N)]
     
    # arrays to tell us which rows are occupied 
    rowLookup = [False] * N
     
    # keep two arrays to tell us 
    # which diagonals are occupied 
    x = 2 * N - 1
    slashCodeLookup = [False] * x
    backslashCodeLookup = [False] * x
     
    # initialize helper matrices 
    for rr in range(N):
        for cc in range(N):
            slashCode[rr][cc] = rr + cc
            backslashCode[rr][cc] = rr - cc + 7
     
    if(solveNQueensUtil(board, 0, slashCode, backslashCode, 
                        rowLookup, slashCodeLookup, 
                        backslashCodeLookup) == False):
        print(""Solution does not exist"")
        return False
         
    # solution found 
    printSolution(board)
    return True
","['branch and bound', 'matrix/grid']",,
"Let there be N workers and N jobs. Any worker can be assigned to perform any job, incurring some cost that may vary depending on the work-job assignment. It is required to perform all jobs by assigning exactly one worker to each job and exactly one job to each agent in such a way that the total cost of the assignment is minimized.
Your input will be an NxN matrix of cost for each work to do each job. Return an assignment matrix with the least cost.
",,"
import math
from heapq import heappush, heappop

class priorityQueue:
     
    # Constructor to initialize a
    # Priority Queue
    def __init__(self):
        self.heap = []
 
    # Inserts a new key 'k'
    def push(self, k):
        heappush(self.heap, k)
 
    # Method to remove minimum element 
    # from Priority Queue
    def pop(self):
        return heappop(self.heap)
 
    # Method to know if the Queue is empty
    def empty(self):
        if not self.heap:
            return True
        else:
            return False

class Node():
    def __init__(self, parent, pathCost, cost, workerID, jobID, assigned):
        self.parent = parent
        self.pathCost = pathCost
        self.cost = cost
        self.workerID = workerID
        self.jobId = jobID
        self.assigned = assigned

    def __lt__(self, other):
        return self.cost < other.cost

def newNode(x, y, assigned, parent):
    a = copy(assigned)
    a[y] = True
    return Node(parent, None, None, x, y, a)

def calcCost(cost_matrix, x, y, assigned):
    cost = 0
    available = [True] * len(cost_matrix)
    for i in range(x+1, len(cost_matrix)):
        min = math.inf
        minIndex = -1
        for j in range(len(cost_matrix)):
            if not assigned[j] and available[j] and cost_matrix[i][j] < min:
                minIndex = j
                min = cost_matrix[i][j]
        cost += min
        available[minIndex] = False

    return cost

def retAssignment(min: Node, n):
    ret = []
    for i in range(n):
        ret.append([False]*n)
    cur = min
    while cur is not None:
        ret[cur.workerID][cur.jobId] = True
        cur = cur.parent

def find_min_cost(cost_matrix):
    pq = priorityQueue()
    assigned = [False] * len(cost_matrix)
    root = newNode(-1,-1, assigned, None)
    root.pathCost = 0
    root.cost = 0
    root.workerID = -1
    pq.push(root)
    while not pq.empty():
        min = pq.pop()
        i = min.workerID + 1
        if i == len(cost_matrix):
            return retAssignment(min, len(cost_matrix))
        for j in range(len(cost_matrix)):
            child = newNode(i,j,min.assigned, min)
            child.pathCost = min.pathCost + cost_matrix[i][j]
            child.cost = child.pathCost + calcCost(cost_matrix, i, j, child.assigned)
            pq.push(child)
","['branch and bound', 'matrix/grid']",,
"Given a set of cities and distance between every pair of cities, the problem is to find the shortest possible tour that visits every city exactly once and returns to the starting point.
",HARD Question + too many functions + includes prints as output,"
import math
maxsize = float('inf')
def copyToFinal(curr_path):
        final_path[:N + 1] = curr_path[:]
        final_path[N] = curr_path[0]
def firstMin(adj, i):
        min = maxsize
        for k in range(N):
                if adj[i][k] < min and i != k:
                        min = adj[i][k]

        return min

def secondMin(adj, i):
        first, second = maxsize, maxsize
        for j in range(N):
                if i == j:
                        continue
                if adj[i][j] <= first:
                        second = first
                        first = adj[i][j]

                elif(adj[i][j] <= second and
                        adj[i][j] != first):
                        second = adj[i][j]

        return second

def TSPRec(adj, curr_bound, curr_weight, 
                        level, curr_path, visited):
        global final_res

        if level == N:

                if adj[curr_path[level - 1]][curr_path[0]] != 0:
                        curr_res = curr_weight + adj[curr_path[level - 1]]                                                                                [curr_path[0]]
                        if curr_res < final_res:
                                copyToFinal(curr_path)
                                final_res = curr_res
                return

        for i in range(N):
                if (adj[curr_path[level-1]][i] != 0 and
                                                        visited[i] == False):
                        temp = curr_bound
                        curr_weight += adj[curr_path[level - 1]][i]
                        if level == 1:
                                curr_bound -= ((firstMin(adj, curr_path[level - 1]) +
                                                                firstMin(adj, i)) / 2)
                        else:
                                curr_bound -= ((secondMin(adj, curr_path[level - 1]) +
                                                                firstMin(adj, i)) / 2)
                        if curr_bound + curr_weight < final_res:
                                curr_path[level] = i
                                visited[i] = True
                                TSPRec(adj, curr_bound, curr_weight, 
                                        level + 1, curr_path, visited)
                        curr_weight -= adj[curr_path[level - 1]][i]
                        curr_bound = temp
                        visited = [False] * len(visited)
                        for j in range(level):
                                if curr_path[j] != -1:
                                        visited[curr_path[j]] = True
def TSP(adj):
        curr_bound = 0
        curr_path = [-1] * (N + 1)
        visited = [False] * N
        for i in range(N):
                curr_bound += (firstMin(adj, i) +
                                        secondMin(adj, i))
        curr_bound = math.ceil(curr_bound / 2)
        visited[0] = True
        curr_path[0] = 0
        TSPRec(adj, curr_bound, 0, 1, curr_path, visited)

# Driver code

# Adjacency matrix for the given graph
adj = [[0, 10, 15, 20],
        [10, 0, 35, 25],
        [15, 35, 0, 30],
        [20, 25, 30, 0]]
N = 4

# final_path[] stores the final solution 
# i.e. the // path of the salesman.
final_path = [None] * (N + 1)

# visited[] keeps track of the already
# visited nodes in a particular path
visited = [False] * N

# Stores the final minimum weight
# of shortest tour.
final_res = maxsize

TSP(adj)

print(""Minimum cost :"", final_res)
print(""Path Taken : "", end = ' ')
for i in range(N + 1):
        print(final_path[i], end = ' ')
","['branch and bound', 'graph']",,
"You are given an array of people, people, which are the attributes of some people in a queue (not necessarily in order). Each people[i] = [hi, ki] represents the ith person of height hi with exactly ki other people in front who have a height greater than or equal to hi.

Reconstruct and return the queue that is represented by the input array people. The returned queue should be formatted as an array queue, where queue[j] = [hj, kj] is the attributes of the jth person in the queue (queue[0] is the person at the front of the queue).
","Input:  [[7, 0], [4, 4], [7, 1], [5, 0], [6, 1], [5, 2]]
Output: [[5, 0], [4, 1], [7, 0], [5, 2], [6, 1], [7, 1]]

Input:  [[6, 0], [5, 0], [4, 0], [3, 2], [2, 2], [1, 4]]
Output: [[4, 0], [5, 0], [2, 2], [3, 2], [1, 4], [6, 0]]","
def reconstructQueue(people):
    output=[] 
    people.sort(key=lambda x: (-x[0], x[1]))                
    for a in people:
        output.insert(a[1], a)
    
    return output
","['greedy', 'array']",,"assert reconstructQueue([[8,1],[5,0],[6,1],[5,2],[4,4],[7,1]]) == [[5, 0], [8, 1], [5, 2], [6, 1], [4, 4], [7, 1]]
assert reconstructQueue([[7,0],[4,1],[7,1],[5,0],[6,1],[5,2]]) == [[5, 0], [4, 1], [7, 0], [5, 2], [6, 1], [7, 1]]"
"There are N Mice and N holes are placed in a straight line. Each hole can accommodate only 1 mouse. A mouse can stay at his position, move one step right from x to x + 1, or move one step left from x to x -1. Any of these moves consumes 1 minute. Assign mice to holes so that the time when the last mouse gets inside a hole is minimized.
You are given a list of mice and hole positions as integer scalers.
","Input: Mices = [0, 10, 2, 3], Holes = [3, 2, 23, 0]
Output: 13","def assignHole(mices, holes):
    for i,j in zip(mices,holes):
        if i<0 or j<0:
            return -1
    if (len(mices) != len(holes)):
        return -1
    mices.sort()
    holes.sort()
    Max = 0
     
    for i in range(len(holes)):
        if (Max < abs(mices[i] - holes[i])):
            Max = abs(mices[i] - holes[i])
     
    return Max","['greedy', 'array', 'sorting']",,"assert assignHole([1, 2, 3, 4], [4, 3, 2, 1]) == 0
assert assignHole([1,10,4,6], [4,5,2,4]) == 5"
"Every positive fraction can be represented as sum of unique unit fractions. A fraction is unit fraction if numerator is 1 and denominator is a positive integer, for example 1/3 is a unit fraction. Such a representation is called Egyptian Fraction.
Given a numerator and denominator print the  Egyptian Fraction.
",BAD QUESTION,"
import math
def egyptianFraction(nr, dr):
 
    print(""The Egyptian Fraction "" +
          ""Representation of {0}/{1} is"".
                format(nr, dr), end=""
"")
    ef = []
    while nr != 0:
        x = math.ceil(dr / nr)
        ef.append(x)
        nr = x * nr - dr
        dr = dr * x
    for i in range(len(ef)):
        if i != len(ef) - 1:
            print("" 1/{0} +"" . 
                    format(ef[i]), end = "" "")
        else:
            print("" 1/{0}"" .
                    format(ef[i]), end = "" "")
","['greedy', 'mathematical']",,
"Every house in the colony has at most one pipe going into it and at most one pipe going out of it. Tanks and taps are to be installed in a manner such that every house with one outgoing pipe but no incoming pipe gets a tank installed on its roof and every house with only an incoming pipe and no outgoing pipe gets a tap.

Given two integers n and p denoting the number of houses and the number of pipes. The connections of pipe among the houses contain three input values: a_i, b_i, d_i denoting the pipe of diameter d_i from house a_i to house b_i, find out the efficient solution for the network. 

The output will contain the number of pairs of tanks and taps t installed in first line and the next t lines contain three integers: house number of tank, house number of tap and the minimum diameter of pipe between them.


",BAD QUESTION,"
def dfs(w, ans, cd, wt):
        if (cd[w] == 0):
                return w, ans
        if (wt[w] < ans):
                ans = wt[w]
        return dfs(cd[w], ans, cd, wt)

# Function performing calculations.
def solve(n, p, arr):
    # Array rd stores the 
    # ending vertex of pipe
    rd = [0]*1100

    # Array wd stores the value 
    # of diameters between two pipes
    wt = [0]*1100

    # Array cd stores the 
    # starting end of pipe
    cd = [0]*1100
    ans = 0
    i = 0
    while (i < p):
        q = arr[i][0]
        h = arr[i][1]
        t = arr[i][2]
        
        cd[q] = h
        wt[q] = t
        rd[h] = q
        i += 1
    a = []
    b = []
    c = []
        
    for j in range(1, n + 1):
        if (rd[j] == 0 and cd[j]):
            
            ans = 1000000000
            w, ans = dfs(j, ans, cd, wt)
            
            # We put the details of component
            # in final output array
            a.append(j)
            b.append(w) 
            c.append(ans)
    print(len(a))
    for j in range(len(a)):
        print(a[j], b[j], c[j])
","['greedy', 'graph']",,
"You are given n activities with their start and finish times. Select the maximum number of activities that can be performed by a single person and return their indexes. Assume that a person can only work on a single activity at a time. 
","Input: start  =  {10, 12, 20}, finish =  {20, 25, 30}
Output: [0, 2]","import numpy as np
def MaxActivities(s, f):
    indices = np.argsort(f)
    [s[i] for i in indices]
    [f[i] for i in indices]
    result = []
    n = len(f)
    i = 0
    result.append(i)
    for j in range(1, n):
        if s[j] >= f[i]:
            result.append(j)
            i = j
    return result
",['greedy'],,"assert MaxActivities([2, 4, 5, 6, 7, 8], [3, 5, 6, 7, 9, 10]) == [0, 1, 2, 3, 4]

assert MaxActivities([0, 1, 3, 5, 5, 8], [6, 2, 4, 7, 9, 9]) == [0, 5]"
"Given the head of a singly linked list, reverse the list, and return the reversed list.
Definition for singly-linked list.
class ListNode(object):
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next
",,"
def reverseList(head):
    if head == None:
        return None
    cur = head
    next = cur.next
    while next:
        tmp = next.next
        next.next = cur
        cur = next
        next = tmp

    head.next = None
    return cur
",['linked list'],,
"Given the head of a singly linked list, return true if it is a palindrome or false otherwise.
Definition for singly-linked list.
class ListNode(object):
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next
",,"
def isPalindrome(head):
    slow = fast = head 
    while fast and fast.next:
        fast = fast.next.next
        slow = slow.next 
        
    stack1=[]
    stack2 = []
    
    fast = slow 
    slow = head
    while fast:
        stack2.append(slow.val)
        stack1.append(fast.val)
        fast = fast.next
        slow = slow.next 
        
    stack2.reverse()
    return stack1 == stack2
",['linked list'],,
"Given the head of a singly linked list and an integer k, split the linked list into k consecutive linked list parts.

The length of each part should be as equal as possible: no two parts should have a size differing by more than one. This may lead to some parts being null.

The parts should be in the order of occurrence in the input list, and parts occurring earlier should always have a size greater than or equal to parts occurring later.

Return an array of the k parts.
Definition for singly-linked list.
class ListNode(object):
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next
",,"
def splitListToParts(head, k):
    cur = head
    N = 0
    while cur:
        N += 1
        cur = cur.next
    width, remainder = divmod(N, k)

    ans = []
    cur = head
    for i in range(k):
        head = cur
        for j in range(width + (i < remainder) - 1):
            if cur: cur = cur.next
        if cur:
            cur.next, cur = None, cur.next
        ans.append(head)
    return ans
",['linked list'],,
"Given the head of a singly linked list, return the middle node of the linked list.

If there are two middle nodes, return the second middle node.
Definition for singly-linked list.
class ListNode(object):
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next
",,"
def middleNode(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    return slow
",['linked list'],,
"You are given the head of a linked list, and an integer k.

Return the head of the linked list after swapping the values of the kth node from the beginning and the kth node from the end (the list is 1-indexed).
Definition for singly-linked list.
class ListNode(object):
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next
",,"
def swapNodes(self, head, k):
    node1 = node2 = fast = head
    #Finding kth node from the start 
    k-=1
    while (k):
        node1 = node1.next
        fast = fast.next
        k-=1

    #Finding kth node from the end
    while (fast and fast.next):
        node2 = node2.next
        fast = fast.next

    #Swapping the values only
    temp = node1.val
    node1.val = node2.val
    node2.val = temp

    return head
",['linked list'],,
